Test Case_ID,Test Case,Functionality
TC_103,Check Daily Gain/Loss icon,Positive
TC_104,Check Daily Gain/Loss,Positive
TC_105,Check Daily Gain/Loss if Profit,Positive
TC_106,Check Daily Gain/Loss if Loss,Positive
TC_107,Check whether after hovering on �In process activity i icon � user is able to see his recent activities for investment,Positive
TC_108,Check and verify investment amount,Positive
TC_109,Check and verify number of strategy,Positive
TC_110,Check whethe user is able to �Asset Allocation� table,Positive
TC_111,Check whether user is able to see graph under asset allocation,Positive
TC_112,Check wheather graph is display according to values,Positive
TC_113,Check whether user is able to see heading �Portfolio composition� above table,Positive
TC_114,"Check whether user is able to see table with following columns in Portfolio composition
1.Strategy
2.Value
3.Gain/Loss %",Positive
TC_115,Check Strategy,Positive
TC_116,Check Value of each strategy,Positive
TC_117,Check Gain/Loss of each strategy,Positive
TC_118,Check total of Value,Positive
TC_119,Check whether user is able to see portfolio details view section,Positive
TC_120,Check wheather user is able to see filter to sort according to selected options in dropdown,Positive
TC_121,Check options in dropdown for strategy filter,Positive
TC_122,"Select ""All"" option from dropdown",Positive
TC_123,Select particular strategy option from dropdown,Positive
TC_124,Check columns of Portfolio details view,Positive
TC_125,Check and verify Strategy Name column,Positive
TC_126,Check and verify Net Investment of all strategy,Positive
TC_127,Check and verify Net Investment value of all strategy,Positive
TC_128,Check and verify Dividend of all strategy,Positive
TC_129,Check and verify Dividend value of all strategy,Positive
TC_130,Check and verify Current value of all strategy,Positive
TC_131,Check and verify Current value data of all strategy,Positive
TC_132,Check and verify Total gain loss of all strategy,Positive
TC_133,Check and verify Total gain loss Rs data of all strategy,Positive
TC_134,Check and verify Total gain loss % data of all strategy,Positive
TC_135,Check and verify Total gain loss arrow for loss,Positive
TC_136,Check and verify Total gain loss arrow for profit,Positive
TC_137,Check and verify Returns of all strategy,Positive
TC_138,Check and verify Returns data of all strategy,Positive
TC_139,Check and verify Return arrow for loss,Positive
TC_140,Check and verify Return arrow for profit,Positive
TC_141,Check wheather user able to see in Action Rupee icon and Down arrow icon,Positive
TC_142,Check by clicking on Rupee icon,Positive
TC_143,Check transaction by clicking on rupee icon,Positive
TC_144,Check by clicking on Down arrow icon in action,Positive
TC_145,Check corpus detail tab,Positive
TC_146,Check and verify Joining date,Positive
TC_147,Check and verify data of Joining date,Positive
TC_148,Check and verify Initial Investment,Positive
TC_149,Check and verify data of Initial Investment,Positive
TC_150,Check and verify Additions,Positive
TC_151,Check and verify data of Additions,Positive
TC_152,Check and verify Withdrawals,Positive
TC_153,Check and verify data of Withdrawals,Positive
TC_154,Check asset allocattion tab,Positive
TC_155,Check and verify Asset class,Positive
TC_156,Check and verify data of Asset class,Positive
TC_157,Check and verify Market value,Positive
TC_158,Check and verify data of Market value,Positive
TC_159,Check and verify %,Positive
TC_160,Check and verify data of %,Positive
TC_161,Check and verify Total of Market Value,Positive
TC_162,Check and verify Total of %,Positive
TC_163,Check Next button functionality if having less than 5 entries in portfolio details view,Negative
TC_164,Check Next button functionality if having equal to 5 entries in portfolio details view,Negative
TC_165,Check Next button functionality if having more than 5 entries in portfolio details view,Positive
TC_166,Check Previous button functionality if having less than 5 entries in portfolio details view,Negative
TC_167,Check Previous button functionality if having equal to 5 entries in portfolio details view,Negative
TC_168,Check Previous button functionality if having more than 5 entries in portfolio details view,Positive
TC_169,"Check user is able to see ""Last 5 Transaction""",Positive
TC_170,Check columns of Last 5 Transaction,Positive
TC_171,Check and verify Last 5 Transaction,Positive
TC_172,Check and Verify Date of Each entries,Positive
TC_173,Check and Verify Strategy Name of Each entries,Positive
TC_174,Check and Verify Transaction type of Each entries,Positive
TC_175,Check and Verify Amount of Each entries,Positive
TC_176,Check by clicking on view more,Positive
TC_177,Check banner,Positive
TC_178,Check and verify account performance report,Positive
TC_179,Check and verify details of account performance,Positive
TC_180,Check and Verfiy Date & Time,Positive
TC_181,Check and Verfiy Strategy name,Positive
TC_182,Check and verify download,Positive
TC_183,Check and verify data of download,Positive
TC_184,Check by clicking on view more,Positive
TC_185,Check Title and icon of Investment Insights,Positive
TC_186,Check columns of Investment Insights,Positive
TC_187,Check entries in investment insights,Positive
TC_188,Check Strategy in strategy name,Positive
TC_189,Check strategy code in strategy name,Positive
TC_190,Check Updates,Positive
TC_191,Check Financial year along with quarter in CMS,Positive
TC_192,Check Document,Positive
TC_193,Check by clicking on document,Positive
TC_194,Check by clicking on view more,Positive
TC_195,Check Title and icon of Portfolio Updates,Positive
TC_196,Check columns of Portfolio Updates,Positive
TC_197,Check entries in Portfolio Update,Positive
TC_198,Check Fund Manager in fund manager name,Positive
TC_199,Check Strategy in Strategy Name,Positive
TC_200,Check strategy code in strategy name,Positive
TC_201,Check Updates,Positive
TC_202,Check Financial year along with month in CMS,Positive
TC_203,Check Document in action tab,Positive
TC_204,Check by clicking on document,Positive
TC_205,Check by clicking on view more,Positive
TC_206,Check Title and icon of Presentations,Positive
TC_207,Check columns of Presentations,Positive
TC_208,Check entries in Presentations,Positive
TC_209,Check Strategy in Strategy Name,Positive
TC_210,Check strategy code in strategy name,Positive
TC_211,Check Updates,Positive
TC_212,Check Financial year along with month in CMS,Positive
TC_213,Check Document in action tab,Positive
TC_214,Check by clicking on document,Positive
TC_215,Check by clicking on view more,Positive
TC_216,Check Title and icon of Investment Insights,Positive
TC_217,Check columns of Investment Insights,Positive
TC_218,Check Strategy,Positive
TC_219,Check strategy code,Positive
TC_220,Check By default selected option in filter,Positive
TC_221,Check by clicking on filter,Positive
TC_222,Check by selecting any one strategy in filter,Positive
TC_223,Check by selecting any one strategy and then again select All strategy option in filter,Positive
TC_224,Check Updates,Positive
TC_225,Check Financial year along with quarter in CMS,Positive
TC_226,Check Document,Positive
TC_227,Check by clicking on document,Positive
TC_228,Check Previous button functionality,Positive
TC_229,Check by clicking on particular page number,Positive
TC_230,Check Next button functionality,Positive
TC_231,Check Title and icon of Portfolio Updates,Positive
TC_232,Check columns of Portfolio Updates,Positive
TC_233,Check Fund Manager,Positive
TC_234,Check By default selected option in filter,Positive
TC_235,Check by clicking on filter,Positive
TC_236,Check by selecting any one Fund Manager in filter,Positive
TC_237,Check by selecting any one Fund Manager and then again select All Fund Manager option in filter,Positive
TC_238,Check Strategy,Positive
TC_239,Check strategy code,Positive
TC_240,Check By default selected option in filter,Positive
TC_241,Check by clicking on filter,Positive
TC_242,Check by selecting any one strategy in filter,Positive
TC_243,Check by selecting any one strategy and then again select All strategy option in filter,Positive
TC_244,Check Updates,Positive
TC_245,Check Financial year along with month in CMS,Positive
TC_246,Check Document,Positive
TC_247,Check by clicking on Document,Positive
TC_248,Check Previous button functionality,Positive
TC_249,Check by clicking on particular page number,Positive
TC_250,Check Next button functionality,Positive
TC_251,Check Title and icon of Presentations,Positive
TC_252,Check columns of Presentations,Positive
TC_253,Check Strategy,Positive
TC_254,Check strategy code,Positive
TC_255,Check By default selected option in filter,Positive
TC_256,Check by clicking on filter,Positive
TC_257,Check by selecting any one strategy in filter,Positive
TC_258,Check by selecting any one strategy and then again select All strategy option in filter,Positive
TC_259,Check Updates,Positive
TC_260,Check Financial year along with month in CMS,Positive
TC_261,Check Document,Positive
TC_262,Check by clicking on Document,Positive
TC_263,Check Previous button functionality,Positive
TC_264,Check by clicking on particular page number,Positive
TC_265,Check Next button functionality,Positive
TC_266,Check by without selecting distributor name,Negative
TC_267,Check and Select Distributor Name field,Positive
TC_268,Check by without selecting Strategy name,Negative
TC_269,Check and verify Strategy Name field,Positive
TC_270,Check by selecting Strategy Name,Positive
TC_271,Check and verify Date of Inception,Positive
TC_272,Check and verify Benchmark,Positive
TC_273,Check and verify Investment Horizon,Positive
TC_274,Check and verify Strategy Type,Positive
TC_275,Check and verify Current value,Positive
TC_276,Check and verify Net Investment,Positive
TC_277,Check and verify Dividend payout,Positive
TC_278,Check and verify Net G/L in Rs,Positive
TC_279,Check and verify Net G/L in %,Positive
TC_280,Check and verify PMS code,Positive
TC_281,Check and verify RM Name,Positive
TC_282,Check and verify Fee structure,Positive
TC_283,Check and verify Fee structure view tab,Positive
TC_284,Check by without entering Investment amount,Negative
TC_285,Check by entering Alphabets in investment amount,Negative
TC_286,Check by entering special characters in investment amount,Negative
TC_287,Check by entering less than 2lac,Negative
TC_288,Check by entering equal to 2lac,Positive
TC_289,Check by entering greater than 2lac,Positive
TC_290,"Check radio button of 2,3,4,5,6,7 lac",Positive
TC_291,Check and verify rupees in words when user enter investment amount manually,Positive
TC_292,Check and verify rupees in words when user click on radio button of amount,Positive
TC_293,Check by without selecting terms and conditions,Positive
TC_294,Check by selecting terms and conditions,Positive
TC_295,"Check by clicking on ""Review and checkout"" button",Positive
TC_296,"Check wheather user is able to see title as ""Review & Checkout""",Positive
TC_297,"Check wheather user is able to see Note as ""NOTE: Cart Fund item are stored for 7 days, after that it will remove automatically.""",Positive
TC_298,Add single strategy in cart and check on 6th day,Positive
TC_299,Add single strategy in cart and check on 7th day,Positive
TC_300,Add single strategy in cart and check on 8th day,Positive
TC_301,Add multiple strategy in cart and check on 7th day,Positive
TC_302,Add multiple strategy in cart and check on 8th day,Positive
TC_303,"Add ""A"" strategy today and ""B"" strategy tommarrow and check on 6th day",Positive
TC_304,"Add ""A"" strategy today and ""B"" strategy tommarrow and check on 7th day",Positive
TC_305,"Add ""A"" strategy today and ""B"" strategy tommarrow and check on 8th day",Positive
TC_306,"Add ""A"" strategy today and ""B"" strategy tommarrow and check on 9th day",Positive
TC_307,Check and verify strategy name,Positive
TC_308,Check and verify strategy code,Positive
TC_309,Check and verify top up amount,Positive
TC_310,Check and verify action column,Positive
TC_311,Check & verify Distributor details,Positive
TC_312,Check & verify Delete,Positive
TC_313,Check by deleting all strategy,Positive
TC_314,Check by clicking on edit icon,Positive
TC_315,Check by clicking on close icon,Positive
TC_316,Check and verify strategy name,Positive
TC_317,Check and verify PMS code,Positive
TC_318,Check investment amount,Positive
TC_319,Check by without entering Investment amount,Negative
TC_320,Check by entering Alphabets in investment amount,Negative
TC_321,Check by entering special characters in investment amount,Negative
TC_322,Check by entering less than 2lac,Negative
TC_323,Check by entering equal to 2lac,Positive
TC_324,Check by entering greater than 2lac,Positive
TC_325,"Check radio button of 2,3,4,5,6,7 lac",Positive
TC_326,Check and verify rupees in words when user enter investment amount manually,Positive
TC_327,Check and verify rupees in words when user click on radio button of amount,Positive
TC_328,"Check by clicking on ""Continue to payment"" button",Positive
TC_329,Without selecting any strategy proceed further,Positive
TC_330,Select one strategy for transaction and Proceed with Netbanking,Positive
TC_331,Select multiple strategy for transaction and Proceed with Netbanking,Positive
TC_332,Select one strategy for transaction and check on successful order summary page(Proceed with Netbanking),Positive
TC_333,Select multiple strategy for transaction and check on successful order summary page(Proceed with Netbanking),Positive
TC_334,Select one strategy for transaction and check on Failed order summary page(Proceed with Netbanking),Positive
TC_335,Select multiple strategy for transaction and check on Failed order summary page(Proceed with Netbanking),Positive
TC_336,Check if Total Payable Amount less than 2lac,Negative
TC_337,Check if Total Payable amount equal to 2lac,Positive
TC_338,Check if Total Payable amount greater than 2lac,Positive
TC_339,Check if Total Payable amount less than 2lac,Negative
TC_340,Check if Total Payable amount equal to 2lac,Positive
TC_341,Check if Total Payable amount greater than 2lac,Positive
TC_342,Check if Total Payable amount equal to (50L- AUM),Negative
TC_343,Check if Total Payable amount less than (50L- AUM),Negative
TC_344,Check if Total Payable amount equal to 2lac,Negative
TC_345,Check if Total Payable amount equal to (50L- AUM),Positive
TC_346,Check if Total Payable amount greater than (50L- AUM),Positive
TC_347,Check if Total Payable amount equal to (50L- net investment),Positive
TC_348,Check if Total Payable amount less than 2lac,Negative
TC_349,Check if Total Payable amount equal to 2lac,Positive
TC_350,Check if Total Payable amount greater than 2lac,Positive
TC_351,Check if Total Payable amount equal to (50L- net investment),Negative
TC_352,Check if Total Payable amount less than (50L- Net investment),Negative
TC_353,Check if Total Payable amount equal to 2lac,Negative
TC_354,Check if Total Payable amount equal to (50L- Net investment),Positive
TC_355,Check if Total Payable amount greater than (50L- Net investment),Positive
TC_356,Check if Total Payable amount equal to (50L- AUM),Positive
TC_357,Check payment mode,Positive
TC_358,Check by selecting Netbanking payment mode,Positive
TC_359,Check select bank dropdown,Positive
TC_360,Without selecting bank proceed further,Negative
TC_361,Select bank and proceed futher,Positive
TC_362,Check and verify important note below bank dropdown,Positive
TC_363,Check payment summary,Positive
TC_364,"Check and verify Transaction type, amount and total payable amount",Positive
TC_365,"Check by Clicking on ""By clicking Continue I accept the below *T&C and declaration"" below continue to payment button",Positive
TC_366,Check and verify terms & conditions,Positive
TC_367,Without accepting terms & conditions proceed further,Negative
TC_368,Accept terms & conditions and proceed further,Positive
TC_369,Check and verify order summary page,Positive
TC_370,Check by without selecting distributor name,Negative
TC_371,Check and verify Distributor Name field,Positive
TC_372,Check by without selecting Strategy name,Negative
TC_373,Check and verify Strategy Name field,Positive
TC_374,Check by selecting Strategy Name,Positive
TC_375,Check and verify Date of Inception,Positive
TC_376,Check and verify Benchmark,Positive
TC_377,Check and verify Investment Horizon,Positive
TC_378,Check and verify Strategy Type,Positive
TC_379,Check and verify RM Name,Positive
TC_380,Check and verify Fee structure,Positive
TC_381,Check and verify Fee structure view tab,Positive
TC_382,Check by without entering Investment amount,Negative
TC_383,Check by entering Alphabets in investment amount,Negative
TC_384,Check by entering special characters in investment amount,Negative
TC_385,Check by entering less than 5lac,Negative
TC_386,Check by entering equal to 5lac,Positive
TC_387,Check by entering greater than 5lac,Positive
TC_388,"Check radio button of 2,3,4,5,6,7 lac",Positive
TC_389,Check and verify rupees in words when user enter investment amount manually,Positive
TC_390,Check and verify rupees in words when user click on radio button of amount,Positive
TC_391,Check by without selecting terms and conditions,Positive
TC_392,"Check by clicking on ""Review and checkout"" button",Positive
TC_393,Check and verify strategy name,Positive
TC_394,Check and verify strategy code,Positive
TC_395,Check and verify top up amount,Positive
TC_396,Check and verify action column,Positive
TC_397,Check & verify Distributor details,Positive
TC_398,Check & verify Delete,Positive
TC_399,Check by deleting all strategy,Positive
TC_400,Check by clicking on edit icon,Positive
TC_401,Check by clicking on close icon,Positive
TC_402,Check and verify strategy name,Positive
TC_403,Check investment amount,Positive
TC_404,Check by without entering Investment amount,Negative
TC_405,Check by entering Alphabets in investment amount,Negative
TC_406,Check by entering special characters in investment amount,Negative
TC_407,Check by entering less than 5lac,Negative
TC_408,Check by entering equal to 5lac,Positive
TC_409,Check by entering greater than 5lac,Positive
TC_410,"Check radio button of 2,3,4,5,6,7 lac",Positive
TC_411,Check and verify rupees in words when user enter investment amount manually,Positive
TC_412,Check and verify rupees in words when user click on radio button of amount,Positive
TC_413,"Check by clicking on ""Continue to payment"" button",Positive
TC_414,Check if Total Payable amount less than 5lac,Negative
TC_415,Check if Total Payable amount equal to 5lac,Positive
TC_416,Check if Total Payable amount greater than 5lac,Positive
TC_417,Check if Total Payable amount less than 5lac,Negative
TC_418,Check if Total Payable amount equal to 5lac,Positive
TC_419,Check if Total Payable amount greater than 5lac,Positive
TC_420,Check if Total Payable amount equal to (50L- AUM),Negative
TC_421,Check if Total Payable amount less than (50L- AUM),Negative
TC_422,Check if Total Payable amount equal to 5lac,Negative
TC_423,Check if Total Payable amount equal to (50L- AUM),Positive
TC_424,Check if Total Payable amount greater than (50L- AUM),Positive
TC_425,Check if Total Payable amount equal to (50L- net investment),Positive
TC_426,Check if Total Payable  amount less than 5lac,Negative
TC_427,Check if Total Payable  amount equal to 5lac,Positive
TC_428,Check if Total Payable  amount greater than 5lac,Positive
TC_429,Check if Total Payable  amount equal to (50L- net investment),Negative
TC_430,Check if Total Payable  amount less than (50L- Net investment),Negative
TC_431,Check if Total Payable  amount equal to 5lac,Negative
TC_432,Check if Total Payable  amount equal to (50L- Net investment),Positive
TC_433,Check if Total Payable  amount greater than (50L- Net investment),Positive
TC_434,Check if Total Payable  amount equal to (50L- AUM),Positive
TC_435,Check payment mode,Positive
TC_436,Check by selecting Netbanking payment mode,Positive
TC_437,Check select bank dropdown,Positive
TC_438,Without selecting bank proceed further,Negative
TC_439,Select bank and proceed futher,Positive
TC_440,Check and verify important note below bank dropdown,Positive
TC_441,Check payment summary,Positive
TC_442,"Check and verify Transaction type, amount and total payable amount",Positive
TC_443,Check and verify terms & conditions,Positive
TC_444,Without accepting terms & conditions proceed further,Negative
TC_445,Accept terms & conditions and proceed further,Positive
TC_446,Check and verify order summary page,Positive
TC_447,Check If individual investor previously not filling FATCA details,Positive
TC_448,Check by clicking on FATCA Menu,Positive
TC_449,Check Mandatory fields,Positive
TC_450,Check and Verify Name,Positive
TC_451,Check and verify Country of birth,Positive
TC_452,Check Without selecting country of birth proceed further,Negative
TC_453,Check by selecting country of birth,Positive
TC_454,Check without entering place of birth,Negative
TC_455,Check by entering Special charcters in place of birth,Negative
TC_456,Check by entering Numbers in place of birth,Negative
TC_457,Check by entering valid place of birth,Positive
TC_458,Check and verify Nationality,Positive
TC_459,Check Without selecting Nationality proceed further,Negative
TC_460,Check by selecting Nationality,Positive
TC_461,Check and verify Type of address,Positive
TC_462,Check Without selecting Type of address proceed further,Negative
TC_463,Check by selecting Type of address,Positive
TC_464,Check and verify Tax Residence of any country other than India,Positive
TC_465,Check by selecting Tax Residence of any country other than India as NO,Positive
TC_466,Check by selecting Tax Residence of any country other than India as Yes,Positive
TC_467,Check and verify Tax Country other than India,Positive
TC_468,Check Without selecting Tax Country other than India proceed further,Negative
TC_469,Check by selecting Tax Country other than India,Positive
TC_470,Check without entering Foreign Tax id,Negative
TC_471,Check by entering Foreign Tax id in place of birth,Positive
TC_472,Check by entering valid Foreign Tax id,Positive
TC_473,Check and verify Occupation,Positive
TC_474,Check Without selecting Occupation proceed further,Negative
TC_475,Check by selecting Occupation with other option,Positive
TC_476,Check without entering occupation if other option selected,Negative
TC_477,Check by entering Special charcters in occupation if other option selected,Negative
TC_478,Check by entering Numbers in occupation if other option selected,Positive
TC_479,Check by entering valid occupation if other option selected,Positive
TC_480,Check and verify Source of wealth,Positive
TC_481,Check Without selecting Source of wealth proceed further,Negative
TC_482,Check by selecting Source of wealth,Positive
TC_483,Check and verify Income Slab,Positive
TC_484,Check Without selecting Income Slab proceed further,Negative
TC_485,Check by selecting Income Slab,Positive
TC_486,Check if Net Worth in INR not entered,Positive
TC_487,Check by entering Special charcters in Net Worth in INR,Negative
TC_488,Check by entering alphabets in Net Worth in INR,Negative
TC_489,Check by entering valid Net Worth in INR,Positive
TC_490,IF Net Worth in INR is entered then Check Without selecting Net worth date proceed further,Negative
TC_491,IF Net Worth in INR is entered then Check by selecting Net worth date as future date,Negative
TC_492,IF Net Worth in INR is entered then Check by selecting Net worth date as valid date,Positive
TC_493,IF Net Worth in INR is entered then check Without tick on �I hereby declare that the net worth / income details provided is not older than 6 months of providing the details.�,Negative
TC_494,IF Net Worth in INR is entered then check tick on �I hereby declare that the net worth / income details provided is not older than 6 months of providing the details.�,Positive
TC_495,Check and verify Politically Exposed Person,Positive
TC_496,Check by selecting Politically Exposed Person as NO,Positive
TC_497,Check by selecting Politically Exposed Person as Yes,Positive
TC_498,Check and verify Related to Politically Exposed Person,Positive
TC_499,Check by selecting Related to Politically Exposed Person as NO,Positive
TC_500,Check by selecting Related to Politically Exposed Person as Yes,Positive
TC_501,check Without tick on �I have here by provided my latest details for the Portfolio Managers record.�,Negative
TC_502,Check tick on �I have here by provided my latest details for the Portfolio Managers record.�,Positive
TC_503,"Fill all details with Tax Residence of any country other than India as NO, Net Worth in INR, Politically Exposed Person as No, Related to Politically Exposed Person as NO and click on submit",Positive
TC_504,"Fill all details with Tax Residence of any country other than India as YES, occupation selected as Other, Politically Exposed Person as Yes, Related to Politically Exposed Person as Yes and click on submit",Positive
TC_505,Check If individual investor previously filling FATCA details,Positive
TC_506,Check If individual investor previously filling FATCA details then go to fatca menu and update details,Positive
TC_507,Check If non individual investor previously not filling FATCA details,Positive
TC_508,Check by clicking on FATCA Menu,Positive
TC_509,Check Mandatory fields,Positive
TC_510,Check and Verify Name,Positive
TC_511,Check and verify Occupation,Positive
TC_512,Check if Net Worth in INR not entered,Positive
TC_513,Check by entering Special charcters in Net Worth in INR,Negative
TC_514,Check by entering alphabets in Net Worth in INR,Negative
TC_515,Check by entering valid Net Worth in INR,Positive
TC_516,IF Net Worth in INR is entered then Check Without selecting Net worth date proceed further,Negative
TC_517,IF Net Worth in INR is entered then Check by selecting Net worth date as future date,Negative
TC_518,IF Net Worth in INR is entered then Check by selecting Net worth date as valid date,Positive
TC_519,IF Net Worth in INR is entered then check Without tick on �I hereby declare that the net worth / income details provided is not older than 6 months of providing the details.�,Negative
TC_520,IF Net Worth in INR is entered then check tick on �I hereby declare that the net worth / income details provided is not older than 6 months of providing the details.�,Positive
TC_521,"Fill all details with Tax Residence of any country other than India as NO,Politically Exposed Person as No, Related to Politically Exposed Person as NO and click on submit",Positive
TC_522,"Fill all details with Tax Residence of any country other than India as YES, Politically Exposed Person as Yes, Related to Politically Exposed Person as Yes and click on submit",Positive
TC_523,Check If non individual investor previously filling FATCA details,Positive
TC_524,Check If non individual investor previously filling FATCA details then go to fatca menu and update details,Positive
TC_525,check mandatory fields placed with asterick symbol,Positive
TC_526,Check name of report on page,Positive
TC_527,Check fields for Report,Positive
TC_528,Check and verify PMS code,Positive
TC_529,Check without selecting PMS code proceed further,Negative
TC_530,Check and verify Start date and end date,Positive
TC_531,Check with blank start date,Negative
TC_532,Check by selecting future start date,Negative
TC_533,Check with blank end date,Negative
TC_534,Check by selecting future end date,Negative
TC_535,Check by selecting start date greater than end date,Positive
TC_536,"Check by selecting valid PMS Code, Start Date and End Date",Positive
TC_537,Check and verify report data,Positive
TC_538,Check by clicking on PDF icon,Positive
TC_539,Check by clicking on Download icon,Positive
TC_540,Check and verify report data,Positive
TC_541,Check by clicking on PDF icon,Positive
TC_542,Check by clicking on Download icon,Positive
TC_543,Check and verify report data,Positive
TC_544,Check by clicking on PDF icon,Positive
TC_545,Check by clicking on Download icon,Positive
TC_546,Check and verify report data,Positive
TC_547,Check by clicking on PDF icon,Positive
TC_548,Check by clicking on Download icon,Positive
TC_549,Check and verify report data,Positive
TC_550,Check by clicking on PDF icon,Positive
TC_551,Check by clicking on Download icon,Positive
TC_552,Check and verify report data,Positive
TC_553,Check by clicking on PDF icon,Positive
TC_554,Check by clicking on Download icon,Positive
TC_555,Check name of report on page,Positive
TC_556,Check fields for Report,Positive
TC_557,Check and verify PMS code,Positive
TC_558,Check without selecting PMS code proceed further,Negative
TC_559,Check and verify only one date field,Positive
TC_560,Check with blank start date,Negative
TC_561,Check by selecting future start date,Negative
TC_562,Check with blank end date,Negative
TC_563,Check by selecting future end date,Negative
